source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,SpcTxnId,Kingdom,KingdomKR,PhylumDivision,PhylumDivisionKR,Class,ClassKR,Order,OrderKR,Family,FamilyKR,SpcScitfNm,SpcScitfNmShort,CommKorNm,SpcTyp,ABST,FORM,ECOL,CULTIVINF,BIOCHEMICAL,ACTIVINFO,NADI,INDI,HABI,UTLZ,CorrNmTyp,CorrSpcScitfNm
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Potamolinea aerugineocaerulea,세균계; Cyanobacteria; Cyanophyceae; Oscillatoriales; Oscillatoriaceae,,,,,Potamolinea aerugineocaerulea은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Potamolinea;aerugineocaerulea;Oscillatoriaceae,270000010046,Bacteria,세균계,Cyanobacteria,,Cyanophyceae,,Oscillatoriales,,Oscillatoriaceae,,"Potamolinea aerugineocaerulea (Gomont, 1892) Martins & Branco, 2016",Potamolinea aerugineocaerulea,,기타,,,,,,,,,,,정명,"Potamolinea aerugineocaerulea (Gomont, 1892) Martins & Branco, 2016"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Terrabacter tumescens,세균계; Actinomycetota; Actinomycetes; Micrococcales; Intrasporangiaceae,,,,,Terrabacter tumescens은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Terrabacter;tumescens;Intrasporangiaceae,270000029081,Bacteria,세균계,Actinomycetota,,Actinomycetes,,Micrococcales,,Intrasporangiaceae,,"Terrabacter tumescens (Jensen, 1934) Collins et al., 1989",Terrabacter tumescens,,기타,,,,,,,,,,,정명,"Terrabacter tumescens (Jensen, 1934) Collins et al., 1989"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Mycobacterium poriferae,세균계; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae,,,,,"의미: 스펀지의 문인 Porifera에서 유래 / 분리원: 해양 해면의 세포현탁액에서 분리 / 분포: 해양 해면 / 분리방법: TSA, 28℃ / 보존기관 정보: ATCC","해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Mycobacterium;poriferae;Mycobacteriaceae,270000023487,Bacteria,세균계,Actinomycetota,,Actinomycetes,,Mycobacteriales,,Mycobacteriaceae,,"Mycobacterium poriferae Padgitt & Moshier, 1987",Mycobacterium poriferae,,기타,"의미: 스펀지의 문인 Porifera에서 유래 / 분리원: 해양 해면의 세포현탁액에서 분리 / 분포: 해양 해면 / 분리방법: TSA, 28℃ / 보존기관 정보: ATCC",배양배지: TSA / 그람염색: 양성 / 콜로니특징: 주황색 / 세포형태: 간균 / 세포크기: 0.7-2.5 x 1.1-4.9 μm,,"온도(최적온도): (28-30) / Ph(최적pH): 5.0-8.5 / 주요기질: glucose, mannitol, sucrose, D-xylose, mannose",,"catalase, pyrazinamidase, nicotinamidase",,,,,정명,"Mycobacterium poriferae Padgitt & Moshier, 1987"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Limnospira maxima,세균계; Cyanobacteria; Cyanophyceae; Oscillatoriales; Microcoleaceae,연안에 분포,연안에 분포,,,"세포는 청록색으로 세포열(trichome)에는 격벽이 보인다. 나선형의 다세포 남조류에 속하는 종으로 세포의 성장에 따라 다양한 꼬임을 보이기도 한다. 세포에는 엽록소, 피코시안 색소가 있어 광합성을 하며 단백질 함량이 60% 이상으로 미래의 단백질원으로 주목받고 있다. 보통 Spirulina 로 많이 알려져 있다.","해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Limnospira;maxima;Microcoleaceae;연안에;분포,270000025255,Bacteria,세균계,Cyanobacteria,,Cyanophyceae,,Oscillatoriales,,Microcoleaceae,,"Limnospira maxima (Setchell & Gardner, 1917) Nowicka-Krawczyk et al., 2019",Limnospira maxima,,기타,"세포는 청록색으로 세포열(trichome)에는 격벽이 보인다. 나선형의 다세포 남조류에 속하는 종으로 세포의 성장에 따라 다양한 꼬임을 보이기도 한다. 세포에는 엽록소, 피코시안 색소가 있어 광합성을 하며 단백질 함량이 60% 이상으로 미래의 단백질원으로 주목받고 있다. 보통 Spirulina 로 많이 알려져 있다.",,,,,,연안에 분포,연안에 분포,,단백질 함유량이 60% 이상으로 미래의 식량으로 주목받는 식물플랑크톤,정명,"Limnospira maxima (Setchell & Gardner, 1917) Nowicka-Krawczyk et al., 2019"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Mycobacterium phlei,세균계; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae,,,,,Mycobacterium phlei은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Mycobacterium;phlei;Mycobacteriaceae,270000023485,Bacteria,세균계,Actinomycetota,,Actinomycetes,,Mycobacteriales,,Mycobacteriaceae,,"Mycobacterium phlei Lehmann & Neumann, 1899",Mycobacterium phlei,,기타,,,,,,,,,,,정명,"Mycobacterium phlei Lehmann & Neumann, 1899"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Mycobacterium peregrinum,세균계; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae,,,,,Mycobacterium peregrinum은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Mycobacterium;peregrinum;Mycobacteriaceae,270000023484,Bacteria,세균계,Actinomycetota,,Actinomycetes,,Mycobacteriales,,Mycobacteriaceae,,"Mycobacterium peregrinum (ex Bojalil et al., 1962) Kusunoki & Ezaki, 1992",Mycobacterium peregrinum,,기타,,,,,,,,,,,정명,"Mycobacterium peregrinum (ex Bojalil et al., 1962) Kusunoki & Ezaki, 1992"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Mycobacterium gilvum,세균계; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae,,,,,Mycobacterium gilvum은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Mycobacterium;gilvum;Mycobacteriaceae,270000023480,Bacteria,세균계,Actinomycetota,,Actinomycetes,,Mycobacteriales,,Mycobacteriaceae,,"Mycobacterium gilvum Stanford & Gunthorpe, 1971",Mycobacterium gilvum,,기타,,,,,,,,,,,정명,"Mycobacterium gilvum Stanford & Gunthorpe, 1971"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,Mycobacterium duvalii,세균계; Actinomycetota; Actinomycetes; Mycobacteriales; Mycobacteriaceae,,,,,Mycobacterium duvalii은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;Mycobacterium;duvalii;Mycobacteriaceae,270000023476,Bacteria,세균계,Actinomycetota,,Actinomycetes,,Mycobacteriales,,Mycobacteriaceae,,"Mycobacterium duvalii Stanford & Gunthorpe, 1971",Mycobacterium duvalii,,기타,,,,,,,,,,,정명,"Mycobacterium duvalii Stanford & Gunthorpe, 1971"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가는다시마,크로미스타계; 대롱편모조식물문; 갈조강; 다시마목; 다시마과,,,,,가는다시마은(는) 해양생물 캐릭터와 과학 동화 소재로 사용할 수 있다.,"해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가는다시마;Saccharina;latissima;다시마과,270000024919,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Laminariales,다시마목,Laminariaceae,다시마과,"Saccharina latissima (Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006",Saccharina latissima,가는다시마,기타,,,,,,,,,,,정명,"Saccharina latissima (Linnaeus) C.E.Lane, C.Mayes, Druehl & G.W.Saunders, 2006"
국립해양생물자원관_해양생물종정보 서비스,https://www.data.go.kr/data/15094770/openapi.do,,marine_life_species,가는모자반털,크로미스타계; 대롱편모조식물문; 갈조강; 솜털목; 민가지말과,동해안 및 남해안,동해안 및 남해안,,,"엽체는 주로 왜모자반에 착생한다. 색은 암갈색을 띠며, 2.0~5.0mm 높이로 작고, 숙주 위에 작은 덤불모양으로 자란다. 수층부는 얇고 4-5세포의 수직으로 배열된 세포열로 구성되며 느슨하게 밀착되어 있고, 크고 둥근 구형의 기부세포로부터 차상 또는 3차상으로 분지하여 형성된다. 겨울부터 봄철(1월~6월)에 생육한다.","해양생물의 생김새, 서식지, 분포를 반영한 과학 동화 소재",국명·학명·서식지·분류체계를 활용한 관찰 질문과 퀴즈,5-7;8-10,해양생물종;가는모자반털;Neoleptonema;yongpilii;민가지말과;동해안;및;남해안,270000023582,Chromista,크로미스타계,Ochrophyta,대롱편모조식물문,Phaeophyceae,갈조강,Ectocarpales,솜털목,Chordariaceae,민가지말과,"Neoleptonema yongpilii E.-Y.Lee & I.K.Lee, 2002",Neoleptonema yongpilii,가는모자반털,기타,"엽체는 주로 왜모자반에 착생한다. 색은 암갈색을 띠며, 2.0~5.0mm 높이로 작고, 숙주 위에 작은 덤불모양으로 자란다. 수층부는 얇고 4-5세포의 수직으로 배열된 세포열로 구성되며 느슨하게 밀착되어 있고, 크고 둥근 구형의 기부세포로부터 차상 또는 3차상으로 분지하여 형성된다. 겨울부터 봄철(1월~6월)에 생육한다.",,,,,,동해안 및 남해안,,,,정명,"Neoleptonema yongpilii E.-Y.Lee & I.K.Lee, 2002"
