source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,경도,국가,국명,분류체계,위도,지역,채집일,학명,해역
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2014-06-02,marine_life,훈수용선충,Nematoda > Chromadorea > Desmodorida > Draconematidae > Draconema > Draconema hoonsooi,대한민국 강원도 양양군 현남면 조간대,대한민국; 동해중부; 대한민국 강원도 양양군 현남면 조간대,37.958641,128.769684,훈수용선충은(는) 동해중부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;훈수용선충;Draconema;hoonsooi;Nematoda;>;Chromadorea;Desmodorida;Draconematidae;동해중부;대한민국;강원도,128.769684,대한민국,훈수용선충,Nematoda > Chromadorea > Desmodorida > Draconematidae > Draconema > Draconema hoonsooi,37.958641,대한민국 강원도 양양군 현남면 조간대,2014-06-02,Draconema hoonsooi,동해중부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2015-04-20,marine_life,말쥐치,Thamnaconus modestus,대한민국 전라남도 여수시,대한민국; 남해동부; 대한민국 전라남도 여수시,34.206280,127.846413,말쥐치은(는) 남해동부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;말쥐치;Thamnaconus;modestus;남해동부;대한민국;전라남도;여수시,127.846413,대한민국,말쥐치,Thamnaconus modestus,34.206280,대한민국 전라남도 여수시,2015-04-20,Thamnaconus modestus,남해동부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2015-05-21,marine_life,범섬긴털용선충,Prochaetosoma beomseomense,대한민국 제주특별자치도 제주시 한경면 조간대,대한민국; 남해서부; 대한민국 제주특별자치도 제주시 한경면 조간대,33.344032,126.169395,범섬긴털용선충은(는) 남해서부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;범섬긴털용선충;Prochaetosoma;beomseomense;남해서부;대한민국;제주특별자치도;제주시;한경면;조간대,126.169395,대한민국,범섬긴털용선충,Prochaetosoma beomseomense,33.344032,대한민국 제주특별자치도 제주시 한경면 조간대,2015-05-21,Prochaetosoma beomseomense,남해서부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2014-06-20,marine_life,독도긴털용선충,Prochaetosoma dokdoense,대한민국 경상북도 울릉군 울릉읍 조하대,대한민국; 동해중부; 대한민국 경상북도 울릉군 울릉읍 조하대,37.239449,131.867569,독도긴털용선충은(는) 동해중부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;독도긴털용선충;Prochaetosoma;dokdoense;동해중부;대한민국;경상북도;울릉군;울릉읍;조하대,131.867569,대한민국,독도긴털용선충,Prochaetosoma dokdoense,37.239449,대한민국 경상북도 울릉군 울릉읍 조하대,2014-06-20,Prochaetosoma dokdoense,동해중부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2010-09-05,marine_life,Brachybacterium paraconglomeratum,Micrococcales > Dermabacteraceae > Brachybacterium > Brachybacterium paraconglomeratum,대한민국 동해,대한민국; 동해중부; 대한민국 동해,36.844147,130.115677,Brachybacterium paraconglomeratum은(는) 동해중부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Brachybacterium;paraconglomeratum;Micrococcales;>;Dermabacteraceae;동해중부;대한민국;동해,130.115677,대한민국,,Micrococcales > Dermabacteraceae > Brachybacterium > Brachybacterium paraconglomeratum,36.844147,대한민국 동해,2010-09-05,Brachybacterium paraconglomeratum,동해중부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2021-03-15,marine_life,무늬발게,Varunidae > Hemigrapsus > Hemigrapsus sanguineus,대한민국 전라북도 부안군 진서면,대한민국; 서해; 대한민국 전라북도 부안군 진서면,35.586128,126.545944,무늬발게은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;무늬발게;Hemigrapsus;sanguineus;Varunidae;>;서해;대한민국;전라북도;부안군;진서면,126.545944,대한민국,무늬발게,Varunidae > Hemigrapsus > Hemigrapsus sanguineus,35.586128,대한민국 전라북도 부안군 진서면,2021-03-15,Hemigrapsus sanguineus,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2021-03-16,marine_life,짧은미륵비늘갯지렁이,Polynoidae > Halosydna > Halosydna brevisetosa,대한민국 전라북도 부안군 변산면 격포해수욕장,대한민국; 서해; 대한민국 전라북도 부안군 변산면 격포해수욕장,35.628166,126.468742,짧은미륵비늘갯지렁이은(는) 서해에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;짧은미륵비늘갯지렁이;Halosydna;brevisetosa;Polynoidae;>;서해;대한민국;전라북도;부안군;변산면;격포해수욕장,126.468742,대한민국,짧은미륵비늘갯지렁이,Polynoidae > Halosydna > Halosydna brevisetosa,35.628166,대한민국 전라북도 부안군 변산면 격포해수욕장,2021-03-16,Halosydna brevisetosa,서해
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2010-09-05,marine_life,Bacillus albus,Caryophanales > Bacillaceae > Bacillus > Bacillus albus,대한민국 동해,대한민국; 동해남부; 대한민국 동해,35.683472,130.349213,Bacillus albus은(는) 동해남부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Bacillus;albus;Caryophanales;>;Bacillaceae;동해남부;대한민국;동해,130.349213,대한민국,,Caryophanales > Bacillaceae > Bacillus > Bacillus albus,35.683472,대한민국 동해,2010-09-05,Bacillus albus,동해남부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2010-09-05,marine_life,Brachybacterium paraconglomeratum,Micrococcales > Dermabacteraceae > Brachybacterium > Brachybacterium paraconglomeratum,대한민국 동해,대한민국; 동해남부; 대한민국 동해,35.683472,130.349213,Brachybacterium paraconglomeratum은(는) 동해남부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Brachybacterium;paraconglomeratum;Micrococcales;>;Dermabacteraceae;동해남부;대한민국;동해,130.349213,대한민국,,Micrococcales > Dermabacteraceae > Brachybacterium > Brachybacterium paraconglomeratum,35.683472,대한민국 동해,2010-09-05,Brachybacterium paraconglomeratum,동해남부
국립해양생물자원관_해양생물 채집 공간정보,https://www.data.go.kr/data/15151832/openapi.do,2010-09-05,marine_life,Fictibacillus enclensis,Fictibacillus enclensis,대한민국 동해,대한민국; 동해남부; 대한민국 동해,35.683472,130.349213,Fictibacillus enclensis은(는) 동해남부에서 관찰·채집된 해양생물 소재로 사용할 수 있다.,해양생물 캐릭터와 바다 탐험 동화 소재,"생물의 이름, 서식 해역, 분류를 활용한 관찰 질문과 퀴즈",5-7;8-10,해양생물;Fictibacillus;enclensis;동해남부;대한민국;동해,130.349213,대한민국,,Fictibacillus enclensis,35.683472,대한민국 동해,2010-09-05,Fictibacillus enclensis,동해남부
