source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,fcltyNm,fcltyType,rdnmadr,lnmadr,operPhoneNumber,operInstitutionNm,homepageUrl,fcltyInfo,weekdayOperOpenHhmm,weekdayOperColseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,rstdeInfo,adultChrge,yngbgsChrge,childChrge,etcChrgeInfo,fcltyIntrcn,trnsportInfo,phoneNumber,institutionNm,referenceDate,insttCode,insttNm
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,영인문학관,사립,서울특별시 종로구,서울특별시 종로구 평창30길 81(평창동),37.6118922,126.9717578,영인문학관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;영인문학관,영인문학관,사립,서울특별시 종로구 평창30길 81(평창동),,02-379-3182,영인문학관,http://young-in.kr/,,10:30,17:00,10:30,17:00,월요일,0,0,0,기금 및 기증,,,02-379-3182,영인문학관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,의학박물관,사립,서울특별시 종로구,서울특별시 종로구 대학로 101,37.58045239,126.9971964,의학박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;의학박물관,의학박물관,사립,서울특별시 종로구 대학로 101,,02-2072-2636,서울대학교병원 의학박물관,http://medicalmuseum.org/,,09:00,18:00,00:00,00:00,일요일+공휴일+근로자의 날(5/1)+개원기념일 (10/15),0,0,0,,,,02-2072-2636,의학박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,화정박물관,사립,서울특별시 종로구,서울특별시 종로구 평창8길 3(평창동),37.604561,126.9660819,화정박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;화정박물관,화정박물관,사립,서울특별시 종로구 평창8길 3(평창동),,02-2075-0114,화정박물관,https://www.hjmuseum.org/,,09:00,18:00,09:00,18:00,"월요일+명절(1.1, 설날, 추석)",3000,2000,1000,,,,02-2075-0114,화정박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,가회민화박물관,사립,서울특별시 종로구,서울특별시 종로구 북촌로12길 17(가회동),37.58214037,126.9856536,가회민화박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;가회민화박물관,가회민화박물관,사립,서울특별시 종로구 북촌로12길 17(가회동),,02-741-0466,가회민화박물관,http://www.gahoemuseum.org/,,10:00,18:00,10:00,18:00,월요일,2000,1000,1000,,,,02-741-0466,가회민화박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,김달진미술자료박물관,사립,서울특별시 종로구,서울특별시 종로구 홍지문1길 4(홍지동),37.600016,126.9566605,김달진미술자료박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;김달진미술자료박물관,김달진미술자료박물관,사립,서울특별시 종로구 홍지문1길 4(홍지동),,02-730-6216,김달진미술자료박물관,http://www.daljin.com/,,10:00,17:00,00:00,00:00,일요일+공휴일,0,0,0,단체관람시 사전예약,,,02-730-6216,김달진미술자료박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,떡박물관,사립,서울특별시 종로구,서울특별시 종로구 돈화문로 71(와룡동),37.57489958,126.9906359,떡박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;떡박물관,떡박물관,사립,서울특별시 종로구 돈화문로 71(와룡동),,02-741-5447,떡박물관,http://www.tkmuseum.or.kr/,,10:00,18:00,12:00,18:00,"명절(1.1, 설날, 추석 당일)",3000,2000,2000,,,,02-741-5447,떡박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,명인박물관,사립,서울특별시 종로구,서울특별시 종로구 북촌로6길 1(가회동),37.58016533,126.9851875,명인박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;명인박물관,명인박물관,사립,서울특별시 종로구 북촌로6길 1(가회동),,02-766-0272,명인박물관,,,10:00,18:00,10:00,18:00,일요일+월요일,3000,1000,1000,,,,02-766-0272,명인박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,보나장신구박물관,사립,서울특별시 종로구,서울특별시 종로구 인사동9길 9(관훈동),37.573542,126.9845504,보나장신구박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;보나장신구박물관,보나장신구박물관,사립,서울특별시 종로구 인사동9길 9(관훈동),,02-732-6621,보나장신구박물관,http://www.bonamuseum.com/,,10:30,18:30,12:00,18:00,"월요일+명절(1.1, 설날, 추석)",5000,4000,3000,,,,02-732-6621,보나장신구박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-01,place,북촌동양문화박물관,사립,서울특별시 종로구,서울특별시 종로구 북촌로11길 76(삼청동),37.583986,126.9833708,북촌동양문화박물관을(를) 배경으로 관람 전후 동화를 만들 수 있다.,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;북촌동양문화박물관,북촌동양문화박물관,사립,서울특별시 종로구 북촌로11길 76(삼청동),,02-723-0190,북촌동양문화박물관,https://blog.naver.com/baamuseum,,10:00,18:00,10:00,18:00,월요일,5000,3000,2000,,,,02-723-0190,북촌동양문화박물관,2025-11-01,3000000,서울특별시 종로구
전국박물관미술관정보표준데이터,https://www.data.go.kr/data/15017323/standard.do,2025-11-17,place,덕포진교육박물관,사립,경기도 김포시,경기도 김포시 대곶면 덕포진로103번길 90,37.6506446,126.538715,초등학교 교사로 재직 중 사고로 시력을 잃은 아내를 위해 초등학교 교사를 지냈던 남편(김동선) 선생님이 설립한 사립박물관,관람 전 예습 동화와 방문 후 기념 동화책 배경,전시실에서 마음에 드는 작품이나 물건을 찾아 가족과 이야기하기,5-7;8-10,박물관;미술관;덕포진교육박물관;초등학교;교사로;재직;중;사고로;시력을;잃은;아내를;위해,덕포진교육박물관,사립,경기도 김포시 대곶면 덕포진로103번길 90,경기도 김포시 대곶면 신안리 232-1,031-989-8580,덕포진교육박물관,http://www.덕포진교육박물관.kr/,,10:00,18:00,10:00,18:00,매주 월(매주 월요일이 공휴일인 경우 다음날)/설 연휴/추석 연휴 당일,4000,3000,2000,실버 3000원+중고등 3000원+초등 2000원+유아1500원,초등학교 교사로 재직 중 사고로 시력을 잃은 아내를 위해 초등학교 교사를 지냈던 남편(김동선) 선생님이 설립한 사립박물관,48번 국도(김포/강화방면) → 누산사거리에서 352번 도로 → 대명항 방면으로 좌회전 → 대명항을 약 1Km정도 남겨두고 우측,031-989-8580,덕포진교육박물관,2025-11-17,4090000,경기도 김포시
