source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,trrsrtNm,trrsrtSe,rdnmadr,lnmadr,ar,cnvnncFclty,stayngInfo,mvmAmsmtFclty,recrtClturFclty,hospitalityFclty,sportFclty,appnDate,aceptncCo,prkplceCo,trrsrtIntrcn,phoneNumber,institutionNm,referenceDate,insttCode,insttNm
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2024-11-20,place,산청중산관광지,관광지,경상남도 산청군,경상남도 산청군 시천면 지리산대로 525,35.293297,127.7549317,수려한 자연경관과 지리산 천왕봉을 조망할 수 있는 산악형 관광지,지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;산청중산관광지;수려한;자연경관과;지리산;천왕봉을;조망할;수;있는;산악형,산청중산관광지,관광지,경상남도 산청군 시천면 지리산대로 525,경상남도 산청군 시천면 중산리 519,292515,공중화장실(3개소)+주차장(2개소)+보건진료소+우체국,펜션,체력단련장,지리산빨치산토벌전시관+트릭아트체험관,관광식당,,1990-11-09,10000,200,수려한 자연경관과 지리산 천왕봉을 조망할 수 있는 산악형 관광지,055-970-7222,경상남도 산청군청,2024-11-20,5450000,경상남도 산청군
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2024-11-20,place,산청금서관광지,관광지,경상남도 산청군,경상남도 산청군 금서면 친환경로 1715,35.394237,127.847052,수려한 자연경관을 조망할 수 있는 가족단위 형태의 관광지,지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;산청금서관광지;수려한;자연경관을;조망할;수;있는;가족단위;형태의,산청금서관광지,관광지,경상남도 산청군 금서면 친환경로 1715,경상남도 산청군 금서면 지막리 산12,194800,주차장(1개소),휴양콘도미니엄,수영장+당구장,리조트,관광식당,,1991-12-30,1200,100,수려한 자연경관을 조망할 수 있는 가족단위 형태의 관광지,055-970-7222,경상남도 산청군청,2024-11-20,5450000,경상남도 산청군
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2024-08-16,place,신지명사십리해수욕장,관광지,전라남도 완도군,전라남도 완도군 신지면 명사십리길 85-105,34.327329,126.8088597,"모래 우는 소리가 십리 밖까지 들린다고 하여 울모래 또는 명사십리로 불리우며, 2019년 우리나라 최초로 블루플래그(친환경 안전해변)해변으로 지정되었다.",지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;신지명사십리해수욕장;모래;우는;소리가;십리;밖까지;들린다고;하여;울모래;또는,신지명사십리해수욕장,관광지,전라남도 완도군 신지면 명사십리길 85-105,,570000,화장실+주차장+관광안내소,,,,,,2000-01-01,1000,100,"모래 우는 소리가 십리 밖까지 들린다고 하여 울모래 또는 명사십리로 불리우며, 2019년 우리나라 최초로 블루플래그(친환경 안전해변)해변으로 지정되었다.",061-550-5427,전라남도 완도군청 관광과,2024-08-16,4990000,전라남도 완도군
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2024-08-16,place,해조류센터,관광지,전라남도 완도군,전라남도 완도군 완도읍 해변공원로 84,34.320789,126.748793,2014년 3월에 개관한 완도국제해조류박람회 주제관으로 특산품 홍보관과 해조류 전시실로 구성되어 있다.,지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;해조류센터;2014년;3월에;개관한;완도국제해조류박람회;주제관으로;특산품;홍보관과;해조류;전시실로,해조류센터,관광지,전라남도 완도군 완도읍 해변공원로 84,,90100,화장실+주차장+관광안내소,,,,,,2012-01-01,1000,100,2014년 3월에 개관한 완도국제해조류박람회 주제관으로 특산품 홍보관과 해조류 전시실로 구성되어 있다.,061-550-5872,전라남도 완도군청 시설관리사업소,2024-08-16,4990000,전라남도 완도군
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2026-02-09,place,창원과학체험관,관광지,경상남도 창원시,경상남도 창원시 성산구 충혼로 72번길 16,35.230268,128.6617774,미래 과학자의 소중한 꿈을 키워 나갈 수 있도록 자라나는 꿈나무들에게 과학을 쉽고 재미있게 즐기면서 배울 수 있는 과학체험관이다.,지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;창원과학체험관;미래;과학자의;소중한;꿈을;키워;나갈;수;있도록;자라나는,창원과학체험관,관광지,경상남도 창원시 성산구 충혼로 72번길 16,,31565,화장실+주차장,,,,,,2010-01-05,250,99,미래 과학자의 소중한 꿈을 키워 나갈 수 있도록 자라나는 꿈나무들에게 과학을 쉽고 재미있게 즐기면서 배울 수 있는 과학체험관이다.,055-267-2676,경상남도 창원시청,2026-02-09,5670000,경상남도 창원시
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2026-02-09,place,마산해양레포츠센터,관광지,경상남도 창원시,경상남도 창원시 마산합포구 제2부두로 56,35.19529973,128.5738199,배를 타고 들어와 해양체험을 즐길 수 있는 이색적인 해양레포츠센터이다. 요일별 체험 프로그램을 진행하고 있으며,지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;마산해양레포츠센터;배를;타고;들어와;해양체험을;즐길;수;있는;이색적인;해양레포츠센터이다.,마산해양레포츠센터,관광지,경상남도 창원시 마산합포구 제2부두로 56,,1092,강의실+탈의실+화장실,,,,,,2011-02-08,50,0,배를 타고 들어와 해양체험을 즐길 수 있는 이색적인 해양레포츠센터이다. 요일별 체험 프로그램을 진행하고 있으며,055-712-0454,창원시설관리공단,2026-02-09,5670000,경상남도 창원시
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2026-02-09,place,웅천도요지전시관,관광지,경상남도 창원시,경상남도 창원시 진해구 두동도요로 198,35.12738997,128.8155983,웅천도요지 출토품을 비롯한 80여점의 유물이 전시되어 있는 전시실과 도자기를 직접 만들어 볼 수 있는 체험공방을 운영하고 있다.,지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;웅천도요지전시관;웅천도요지;출토품을;비롯한;80여점의;유물이;전시되어;있는;전시실과;도자기를,웅천도요지전시관,관광지,경상남도 창원시 진해구 두동도요로 198,,33654,화장실+주차장+체험공방,,,,,,2011-11-23,150,30,웅천도요지 출토품을 비롯한 80여점의 유물이 전시되어 있는 전시실과 도자기를 직접 만들어 볼 수 있는 체험공방을 운영하고 있다.,055-225-6859,경상남도 창원시청,2026-02-09,5670000,경상남도 창원시
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2026-02-09,place,진해해양레포츠센터,관광지,경상남도 창원시,경상남도 창원시 진해구 천자로 160,35.14129989,128.6883002,"편리한 접근성과 저렴한 이용요금, 스쿨 전용 해상교육장 및 국가대표 출신 강사진 등 우수한 시설을 구비하고 있다. 쉽게 접하기 힘든 크루즈, 딩기요트, 윈드서핑, 카약, 래프팅보트, 바나나보트 등을 운영하고 있다.",지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;진해해양레포츠센터;편리한;접근성과;저렴한;이용요금;스쿨;전용;해상교육장;및;국가대표,진해해양레포츠센터,관광지,경상남도 창원시 진해구 천자로 160,,4400,화장실+탈의실+샤워실+강의실,,,,,,2011-02-08,80,0,"편리한 접근성과 저렴한 이용요금, 스쿨 전용 해상교육장 및 국가대표 출신 강사진 등 우수한 시설을 구비하고 있다. 쉽게 접하기 힘든 크루즈, 딩기요트, 윈드서핑, 카약, 래프팅보트, 바나나보트 등을 운영하고 있다.",055-712-0445,창원시설관리공단,2026-02-09,5670000,경상남도 창원시
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2025-12-22,place,신륵사관광지,관광지,경기도 여주시,경기도 여주시 신륵사길 73,37.29742583,127.6599364,"시원한 남한강을 따라 자전거도로, 각종 체육시설과 여주박물관, 도자세상, 농특산물 판매장이 있으며, 매년 여주도자기축제와 오곡나루축제가 이곳에서 개최되고 있다. 특히 남한강을 가르는 황포돛배(Yellow Sail boat)와 수상레저를 즐길 수 있는 가족 연인들의 나들이 공간이다",지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;신륵사관광지;시원한;남한강을;따라;자전거도로;각종;체육시설과;여주박물관;도자세상;농특산물,신륵사관광지,관광지,경기도 여주시 신륵사길 73,경기도 여주시 천송동 289-7,947268,관광안내소+주차장,관광호텔+여관+콘도,물놀이장+오락장,청소년 수련실+야외음악당,,,1978-02-11,4070,1830,"시원한 남한강을 따라 자전거도로, 각종 체육시설과 여주박물관, 도자세상, 농특산물 판매장이 있으며, 매년 여주도자기축제와 오곡나루축제가 이곳에서 개최되고 있다. 특히 남한강을 가르는 황포돛배(Yellow Sail boat)와 수상레저를 즐길 수 있는 가족 연인들의 나들이 공간이다",031-887-2070,경기도 여주시청,2025-12-22,5700000,경기도 여주시
전국관광지정보표준데이터,https://www.data.go.kr/data/15021141/standard.do,2025-11-19,place,고려청자박물관,관광지,전라남도 강진군,전라남도 강진군 대구면 청자촌길 33,34.50866203,126.8008374,"고려청자의 체계적인 관리와 연구를 위해1997년 고려청자박물관을 개관,운영하여청자의 연구는 물론 누구나 쉽게 청자를접하고 이해할 수 있도록 하고 있다.",지역 역사·관광 탐방 동화 배경,장소의 특징을 찾아보고 가족 여행 기록 남기기,5-7;8-10,관광;관광지;고려청자박물관;고려청자의;체계적인;관리와;연구를;위해1997년;고려청자박물관을;개관;운영하여청자의;연구는,고려청자박물관,관광지,전라남도 강진군 대구면 청자촌길 33,,3000,관리사무소+화장실,,,,,,2013-01-01,1000,100,"고려청자의 체계적인 관리와 연구를 위해1997년 고려청자박물관을 개관,운영하여청자의 연구는 물론 누구나 쉽게 청자를접하고 이해할 수 있도록 하고 있다.",061-430-3755,전라남도 강진군청,2025-11-19,4920000,전라남도 강진군
