source_name,source_url,reference_date,item_type,name_ko,category,region,address,latitude,longitude,summary,story_use,mission_use,age_tags,keywords,lbrryNm,ctprvnNm,signguNm,lbrrySe,closeDay,weekdayOperOpenHhmm,weekdayOperColseHhmm,satOperOperOpenHhmm,satOperCloseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,seatCo,bookCo,pblictnCo,noneBookCo,lonCo,lonDaycnt,rdnmadr,operInstitutionNm,phoneNumber,plotAr,buldAr,homepageUrl,referenceDate,insttCode,insttNm
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,봉림평생교육센터,작은도서관,창원시,경상남도 창원시 의창구 대봉로26번길 5,35.25192197,128.6675855,봉림평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;7278,봉림평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,30,7278,14,265,3,14,경상남도 창원시 의창구 대봉로26번길 5,봉림동주민자치위원회,055-265-9877,3681,628,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,사림평생교육센터,작은도서관,창원시,경상남도 창원시 의창구 사림로16번길37,35.244886,128.6791999,사림평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;16400,사림평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,45,16400,27,201,3,14,경상남도 창원시 의창구 사림로16번길37,경남정보사회연구소,055-261-1034,665,294,http://www.kisingo.or.kr,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,신월평생교육센터,작은도서관,창원시,경상남도 창원시 의창구 신월로48,35.227648,128.6926044,신월평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;15111,신월평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,30,15111,140,0,5,14,경상남도 창원시 의창구 신월로48,(사)창원여성의전화,055-287-0667,,,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,용지평생교육센터,작은도서관,창원시,경상남도 창원시 의창구 용지로239번길 19-4,35.23603518,128.6845091,용지평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;17527,용지평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,50,17527,8,1000,3,14,경상남도 창원시 의창구 용지로239번길 19-4,용지동주민자치회,055-261-8477,,,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,반지평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 반지로 15번길 16,35.241006,128.658776,반지평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;18879,반지평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,18879,32,192,5,14,경상남도 창원시 성산구 반지로 15번길 16,반지평생교육센터,055-238-7068,1167,684,http://cafe.daum.net/banji.s.e.c,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,내동평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 연덕로 184번길35,35.217411,128.6695108,내동평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;17086,내동평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,17086,4,95,5,14,경상남도 창원시 성산구 연덕로 184번길35,사)경남여성회,055-287-4114,,350,http://www.gnwomen.com,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,중앙평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 원이대로580번길 34,35.225211,128.677169,중앙평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;15308,중앙평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,15,15308,4,44,5,14,경상남도 창원시 성산구 원이대로580번길 34,(사)지역문화공동체 경남정보사회연구소,055-263-4511,466,157,http://www.kisingo.or.kr,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,상남평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 동산로 115,35.21905622,128.6876162,상남평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;14122,상남평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,13:00,00:00,00:00,12,14122,6,64,3,14,경상남도 창원시 성산구 동산로 115,상남동주민자치위원회,055-264-0517,136,136,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,대방평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 대정로 142,35.21014486,128.7092046,대방평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;16155,대방평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,26,16155,6,147,3,14,경상남도 창원시 성산구 대정로 142,책사랑창원지부,055-283-6558,,,,2024-12-05,5670000,경상남도 창원시
전국도서관표준데이터 작은도서관 필터,https://www.data.go.kr/data/15013109/standard.do,2024-12-05,place,사파평생교육센터,작은도서관,창원시,경상남도 창원시 성산구 창이대로 706번길 16-23,35.2218241,128.698221,사파평생교육센터은(는) 아이의 독서 습관과 지역 탐험을 연결하는 동화 배경으로 사용할 수 있다.,도서관에서 책 속 주인공을 만나는 생활권 독서 동화,"책 표지 색깔 찾기, 사서에게 추천 도서 묻기, 가족 독서 기록 남기기",4-7;8-10,도서관;작은도서관;16758,사파평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,27,16758,5,423,2,14,경상남도 창원시 성산구 창이대로 706번길 16-23,창원YMCA,055-266-1158,,,,2024-12-05,5670000,경상남도 창원시
