경도,국가,국명,분류체계,위도,지역,채집일,학명,해역
128.769684,대한민국,훈수용선충,Nematoda > Chromadorea > Desmodorida > Draconematidae > Draconema > Draconema hoonsooi,37.958641,대한민국 강원도 양양군 현남면 조간대,2014-06-02,Draconema hoonsooi,동해중부
127.846413,대한민국,말쥐치,Thamnaconus modestus,34.206280,대한민국 전라남도 여수시,2015-04-20,Thamnaconus modestus,남해동부
126.169395,대한민국,범섬긴털용선충,Prochaetosoma beomseomense,33.344032,대한민국 제주특별자치도 제주시 한경면 조간대,2015-05-21,Prochaetosoma beomseomense,남해서부
131.867569,대한민국,독도긴털용선충,Prochaetosoma dokdoense,37.239449,대한민국 경상북도 울릉군 울릉읍 조하대,2014-06-20,Prochaetosoma dokdoense,동해중부
130.115677,대한민국,,Micrococcales > Dermabacteraceae > Brachybacterium > Brachybacterium paraconglomeratum,36.844147,대한민국 동해,2010-09-05,Brachybacterium paraconglomeratum,동해중부
126.545944,대한민국,무늬발게,Varunidae > Hemigrapsus > Hemigrapsus sanguineus,35.586128,대한민국 전라북도 부안군 진서면,2021-03-15,Hemigrapsus sanguineus,서해
126.468742,대한민국,짧은미륵비늘갯지렁이,Polynoidae > Halosydna > Halosydna brevisetosa,35.628166,대한민국 전라북도 부안군 변산면 격포해수욕장,2021-03-16,Halosydna brevisetosa,서해
130.349213,대한민국,,Caryophanales > Bacillaceae > Bacillus > Bacillus albus,35.683472,대한민국 동해,2010-09-05,Bacillus albus,동해남부
130.349213,대한민국,,Micrococcales > Dermabacteraceae > Brachybacterium > Brachybacterium paraconglomeratum,35.683472,대한민국 동해,2010-09-05,Brachybacterium paraconglomeratum,동해남부
130.349213,대한민국,,Fictibacillus enclensis,35.683472,대한민국 동해,2010-09-05,Fictibacillus enclensis,동해남부
130.349213,대한민국,,Peribacillus frigoritolerans,35.683472,대한민국 동해,2010-09-05,Peribacillus frigoritolerans,동해남부
130.366776,대한민국,,Muricauda beolgyonensis,36.914806,대한민국 동해,2010-09-05,Muricauda beolgyonensis,동해중부
130.366776,대한민국,,Micrococcales > Microbacteriaceae > Microbacterium > Microbacterium kitamiense,36.914806,대한민국 동해,2010-09-05,Microbacterium kitamiense,동해중부
126.160950,대한민국,가는낫노벌레,Copepoda > Calanoida > Centropagidae > Centropages > Centropages tenuiremis,34.342258,대한민국 전라남도 진도군,2011-05-15,Centropages tenuiremis,남해서부
131.867783,대한민국,,Oncholaimus tripapillatus,37.239166,대한민국 경상북도 울릉군 울릉읍 조하대,2015-09-22,Oncholaimus tripapillatus,동해중부
130.366776,대한민국,,Caryophanales > Bacillaceae > Bacillus > Bacillus haynesii,36.914806,대한민국 동해,2010-09-05,Bacillus haynesii,동해중부
