latitude,longitude,sn,no,ccmaName,ccbaMnm1,ccbaMnm2,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaKdcd,ccbaCtcd,ccbaAsno,ccbaCncl,ccbaCpno,regDt
35.1046988,129.0193361,1,199,국보,심지백 개국원종공신녹권,沈之伯 開國原從功臣錄券,부산,서구,동아대학교박물관,11,21,0000690000000,N,1112100690000,2025-06-26 18:46:08
35.1906,129.0529875,2,200,국보,조선왕조실록 태백산사고본,朝鮮王朝實錄 太白山史庫本,부산,연제구,국가기록원 역사기록관,11,21,0001510000200,N,1112101510200,2025-06-26 18:46:08
35.1295217022496,129.09414818121,3,201,국보,금동보살입상(1979),金銅菩薩立像(1979),부산,남구,부산시립박물관,11,21,0002000000000,N,1112102000000,2025-06-26 18:46:08
0,0,4,16778,국보,산청 석남암사지 석조비로자나불좌상 활석사리호,山淸 石南巖寺址 石造毘盧遮那佛坐像 滑石舍利壺,부산,남구,부산시립박물관,11,21,0002330000200,N,1112102330000,2026-05-19 10:55:03
0,0,5,15326,국보,동궐도(1995),東闕圖(1995),부산,서구,동아대학교박물관,11,21,0002490000200,N,1112102490200,2025-06-26 18:02:47
0,0,6,165,국보,청자 음각연화문 유개매병,靑磁 陰刻蓮花文 有蓋梅甁,부산,금정구,현＊＊＊,11,21,0002540000000,N,1111102540000,2025-06-26 18:04:03
0,0,7,176,국보,백자 청화산수화조문 항아리,白磁 靑畵山水花鳥文 立壺,부산,해운대구,진＊＊＊,11,21,0002630000000,N,1111102630000,2026-01-15 11:25:04
0,0,8,20076,국보,삼국유사 권4~5,三國遺事 卷四~五,부산,금정구,대한불교조계종 범어사,11,21,0003060000400,N,1112103060400,2025-06-26 18:02:50
35.2840296177467,129.068414124906,9,1122,보물,부산 범어사 삼층석탑,釜山 梵魚寺 三層石塔,부산,금정구,범어사,12,21,0002500000000,N,1122102500000,2026-01-26 15:55:06
35.1216423,129.0201433,10,1123,보물,감지은니 묘법연화경 권3,紺紙銀泥 妙法蓮華經 卷三,부산,서구,동아대학교박물관,12,21,0002690000300,N,1122102690300,2025-06-26 18:46:15
