latitude,longitude,relicsNm,appnNo,relicsKnd,relicsSe,rdnmadr,lnmadr,appnDate,posesnSe,ownerNm,scale,makePd,picInfo,relicsIntrcn,phoneNumber,institutionNm,referenceDate,insttCode,insttNm
36.92863174,127.5553055,쌍정리 삼층석탑,제29호,유형문화유적,향토문화유산,충청북도 음성군 맹동면 덕금로323번길 55-4,,2019-08-16,국유,,,,,"맹동면 쌍정 3리 하정마을에 있는 석탑이다. 이 탑은 마을 안에 있는데, 석탑이 있는 곳이 옛 절터인지는 분명하지 않다. 기단부는 1개의 돌로 되어 있으며, 기단 갑선 윗면에 탑신 받침이 있다. 탑신부는 3층으로 1, 2층은 탑 몸돌과 지붕돌(옥개석)이 별개의 돌로 되어 있으며, 3층은 탑 몸돌과 지붕돌이 1개의 돌로 되어 있다.",043-871-3544,충청북도 음성군,2024-09-27,4470000,충청북도 음성군
36.9110296,127.6108175,단양장씨 효열각,제30호,유형문화유적,향토문화유산,,충청북도 음성군 음성읍 삼생리 산92,2019-08-16,사유,,,,,"정면 1칸, 측면 1칸, 맞배지붕 목조기와집으로 단양장씨 사헌공파 한 가문인 장택한 처 장수황씨 효부 편액(1858년, 철종9), 장석영 효행 편액(1889년, 고종26), 장동엽처 청주이씨 정렬 편액(1892년, 고종29)이 함께 모셔져 있다.",043-871-3544,단양장씨 종중,2024-09-27,4470000,충청북도 음성군
36.9130264,127.5806748,김종립 충신문,제31호,유형문화유적,향토문화유산,,충청북도 음성군 맹동면 군자리 산8,2020-09-15,사유,,,,,"김종립(金宗立,  ~ 1636)의 충신문으로, 숙종 31년(1705)에 명정되었다. 김종립은 인조 2년(1624)에 무과에 급제한 사람으로, 인조 14년(1636)에 병자호란이 일어나자 경기도 광주에서 왜적과 싸우다가 전사하였다. 1983년에 통동 저수지가 건설되면서 저수지 북쪽 산기슭인 현 위치로 이전된 것으로, 겹처마 맞배지붕의 목조기와집이다.",043-871-3544,의성김씨 종중,2024-09-27,4470000,충청북도 음성군
33.268186,126.643903,신예리지석묘 2호,2,기념물,도 기념물,,제주특별자치도 서귀포시 남원읍 신예리 39-1번지,2002-04-17,사유,,,,,신례리 고인돌은 기원전 1세기 경에 축조된 것으로 전형적인 바둑판식에 지석을 여러 매 괴거나 상석이 아치 모양을 이루는 제주 형태를 취하고 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.536452,126.620536,신촌향사,8,유형문화유적,도 유형문화유산,,제주특별자치도 제주시 조천읍 신촌리 2156-1번지,1975-03-12,국유,,,,,신촌향사는 마을의 공무를 처리하던 곳이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.265061,126.264234,신평리 도요지,58,기념물,도 기념물,,제주특별자치도 서귀포시 대정읍 신평리 59-1번지,2005-10-05,사유,,,,,이 유적은 『앞동산 노랑굴』이라고도 한다. 우리 선현들이 일상 생활에서 사용하는 허벅·통개·병·장테 등의 도기를 만들었던 곳이다. 이 굴에는 도요지의 벽과 천장이 맞붙어 있는 구석에 잿물구멍이 50cm 간격으로 있고 굴의 규격은 길이 16.05m 너비 3.6m 높이 1.8m이며 내부 너비 1.6m로서 근대 중기에 건립된 것으로 추정된다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.27159304,126.6074285,신효동 하귤나무,31,기념물,도 향토유형유산,제주특별자치도 서귀포시 효돈순환로 441,제주특별자치도 서귀포시 신효동 1200-6,2020-08-11,국유,,,,,해당 하귤나무는 당시 인물과 관직 등 역사적 사실과 관련되어 있으며 문헌과 증언으로 제주 하귤의 시원적 실체가 확인되는 사적 의의를 지니고 있어 교육 및 학술적 가치가 있다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.330423,126.752287,신흥동백나무군락,27,기념물,도 기념물,,제주특별자치도 서귀포시 남원읍 신흥리 1159번지,1973-04-03,국유,,,,,동백나무의 가지와 잎은 촘촘하여 방풍효과가 높은 것이 특징이다. 신흥리의 동백나무 군락은 이런 효과에서 울타리용으로 인위적으로 심어진 것들이며 오래된 팽나무와 참식나무 등이 섞여 군락을 이루고 있다. 겨울에는 마을 전체에 동백꽃의 향기가 그윽히 어린다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.548182,126.650713,신흥리방사탑 1호,8,민속자료,도 민속문화유산,,제주특별자치도 제주시 조천읍 신흥리 521번지(큰개),1995-08-26,국유,,,,,방사탑은 마을의 어느 한 방위에 불길한 징조가 보인다거나 어느 한 지형의 기가 허한 곳에 쌓아두는 돌탑으로 부정과 악의 출입을 막아 마을을 평안하게 하고자 하는 신앙의 대상물이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
33.547896,126.649846,신흥리방사탑 2호,8,민속자료,도 민속문화유산,,제주특별자치도 제주시 조천읍 신흥리 531-1번지(불덕),1995-08-26,국유,,,,,방사탑은 마을의 어느 한 방위에 불길한 징조가 보인다거나 어느 한 지형의 기가 허한 곳에 쌓아두는 돌탑으로 부정과 악의 출입을 막아 마을을 평안하게 하고자 하는 신앙의 대상물이다.,064-710-6702,제주특별자치도 세계유산본부,2025-09-15,6500000,제주특별자치도
