latitude,longitude,lbrryNm,ctprvnNm,signguNm,lbrrySe,closeDay,weekdayOperOpenHhmm,weekdayOperColseHhmm,satOperOperOpenHhmm,satOperCloseHhmm,holidayOperOpenHhmm,holidayCloseOpenHhmm,seatCo,bookCo,pblictnCo,noneBookCo,lonCo,lonDaycnt,rdnmadr,operInstitutionNm,phoneNumber,plotAr,buldAr,homepageUrl,referenceDate,insttCode,insttNm
36.38210426,127.3204213,원신흥도서관,대전광역시,유성구,공공도서관,월+공휴일,08:00,22:00,08:00,22:00,00:00,00:00,98,50347,51,0,5,14,대전광역시 유성구 노은동로 234번길35(지족동),대전광역시 유성구청,042-611-6970,4782,3717,http://lib.yuseong.go.kr/,2025-07-15,3670000,대전광역시 유성구
35.25192197,128.6675855,봉림평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,16:00,00:00,00:00,30,7278,14,265,3,14,경상남도 창원시 의창구 대봉로26번길 5,봉림동주민자치위원회,055-265-9877,3681,628,,2024-12-05,5670000,경상남도 창원시
35.244886,128.6791999,사림평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,45,16400,27,201,3,14,경상남도 창원시 의창구 사림로16번길37,경남정보사회연구소,055-261-1034,665,294,http://www.kisingo.or.kr,2024-12-05,5670000,경상남도 창원시
35.227648,128.6926044,신월평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,30,15111,140,0,5,14,경상남도 창원시 의창구 신월로48,(사)창원여성의전화,055-287-0667,,,,2024-12-05,5670000,경상남도 창원시
35.23603518,128.6845091,용지평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,50,17527,8,1000,3,14,경상남도 창원시 의창구 용지로239번길 19-4,용지동주민자치회,055-261-8477,,,,2024-12-05,5670000,경상남도 창원시
35.241006,128.658776,반지평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,18879,32,192,5,14,경상남도 창원시 성산구 반지로 15번길 16,반지평생교육센터,055-238-7068,1167,684,http://cafe.daum.net/banji.s.e.c,2024-12-05,5670000,경상남도 창원시
35.217411,128.6695108,내동평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,20,17086,4,95,5,14,경상남도 창원시 성산구 연덕로 184번길35,사)경남여성회,055-287-4114,,350,http://www.gnwomen.com,2024-12-05,5670000,경상남도 창원시
35.225211,128.677169,중앙평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,18:00,00:00,00:00,15,15308,4,44,5,14,경상남도 창원시 성산구 원이대로580번길 34,(사)지역문화공동체 경남정보사회연구소,055-263-4511,466,157,http://www.kisingo.or.kr,2024-12-05,5670000,경상남도 창원시
35.21905622,128.6876162,상남평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,13:00,00:00,00:00,12,14122,6,64,3,14,경상남도 창원시 성산구 동산로 115,상남동주민자치위원회,055-264-0517,136,136,,2024-12-05,5670000,경상남도 창원시
35.21014486,128.7092046,대방평생교육센터,경상남도,창원시,작은도서관,일+국가지정 공휴일,09:00,18:00,09:00,17:00,00:00,00:00,26,16155,6,147,3,14,경상남도 창원시 성산구 대정로 142,책사랑창원지부,055-283-6558,,,,2024-12-05,5670000,경상남도 창원시
