latitude,longitude,manageNo,parkNm,parkSe,rdnmadr,lnmadr,parkAr,mvmFclty,amsmtFclty,cnvnncFclty,cltrFclty,etcFclty,appnNtfcDate,institutionNm,phoneNumber,referenceDate,insttCode,insttNm
35.06616046,128.9788592,26380-00022,해송공원,어린이공원,,부산광역시 사하구 다대동 113-7,2099.7,,,,,,1988-12-17,부산광역시 사하구청,051-220-4522,2025-11-05,3340000,부산광역시 사하구
37.558585,127.174682,11740-00072,강덕공원,근린공원,,서울특별시 강동구 강일동 산11-6,46699.6,배드민턴장+체력단련기구,,,,,2005-12-29,서울특별시 강동구청,02-3425-6440,2023-08-18,3240000,서울특별시 강동구
37.501139,127.1247542,11710-00120,훙이,어린이공원,서울특별시 송파구 송이로17길 48,서울특별시 송파구 가락본동 14,1500,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.49861927,127.1557171,11710-00122,늘푸른,소공원,,서울특별시 송파구 마천동 578,921,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.516291,127.1119805,11710-00123,평화,소공원,,서울특별시 송파구 방이동 42-2,1651.3,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.49761457,127.1025318,11710-00136,가락1(시영아파트),어린이공원,,서울특별시 송파구 가락동 479,1617.7,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.512706,127.095491,11710-00134,잠실주공5단지 근린공원,근린공원,,서울특별시 송파구 잠실동 27 일원,10741,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.494489,127.147614,11710-00135,향유(거마재정비),근린공원,,서울특별시 송파구 거여동 200-4 일대,10569,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.484857,127.113722,11710-00129,문이,근린공원,,서울특별시 송파구 문정동 481,20856.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.483179,127.144136,11710-00131,위례 근린공원1호,근린공원,,서울특별시 송파구 거여동 491임 일원,200327,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.507619,127.136866,11710-00124,오금지구 수변공원,수변공원,,서울특별시 송파구 오금동 97-21 일원,4302,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.492024,127.1572039,11710-00126,돌무데기놀이터,기타,,서울특별시 송파구 마천동 277-52,455,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.535938,127.121564,11710-00127,풍납타이어,기타,,서울특별시 송파구 풍납동 483-4,291,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.49761457,127.1025318,11710-00128,가락1(시영아파트),근린공원,,서울특별시 송파구 가락동 479,19159.2,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
36.32433529,127.3460925,30170-00092,원도안,어린이공원,,대전광역시 서구 도안동 1113,2406.7,,조합놀이대 외5종,,,공원등5주 외2종,2001-01-05,대전광역시 서구청,042-288-3623,2025-05-28,3660000,대전광역시 서구
37.490844,127.139533,11710-00132,위례 근린공원3호,근린공원,,서울특별시 송파구 거여동 산26-7임 일원,42448,,,,,,,서울특별시 송파구청,02-2147-3380,2024-08-12,3230000,서울특별시 송파구
37.67815864,126.7493772,41287-00016,양촌,어린이공원,경기도 고양시 일산서구 일산로 732-3,경기도 고양시 일산서구 대화동 2211,6555,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67363707,126.7460472,41287-00017,김서,어린이공원,,경기도 고양시 일산서구 대화동 2235,3002.5,체력단련시설,조합놀이대,,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67402156,126.7515073,41287-00018,장촌,근린공원,경기도 고양시 일산서구 중앙로 1525,경기도 고양시 일산서구 대화동 2241,16574,체력단련시설,,화장실,,수경시설,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67219634,126.7507291,41287-00019,강서,어린이공원,경기도 고양시 일산서구 호수로838번길 55-7,경기도 고양시 일산서구 대화동 2265,3217,체력단련시설,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.68229664,126.7622449,41287-00020,도화,어린이공원,경기도 고양시 일산서구 일산로 604,경기도 고양시 일산서구 일산동 1043,4999,체력단련시설,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67721758,126.7740777,41287-00021,윗말,어린이공원,경기도 고양시 일산서구 고봉로 189-3,경기도 고양시 일산서구 일산동 1095,6400,체력단련시설,조합놀이대+그네+시소+흔들놀이대+회전놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.6735398,126.7716033,41287-00022,이물재,어린이공원,경기도 고양시 일산서구 고봉로 143-3,경기도 고양시 일산서구 주엽동 39,5701,체력단련시설,조합놀이대+정글짐+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.6747456,126.7584541,41287-00023,문촌,어린이공원,경기도 고양시 일산서구 주엽로 173-4,경기도 고양시 일산서구 주엽동 10,4901,체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.66867703,126.7603779,41287-00024,주엽,근린공원,경기도 고양시 일산서구 주화로 65-3,경기도 고양시 일산서구 주엽동 118,19614,체력단련시설,,화장실,,조형물,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.66954988,126.7553261,41287-00025,백암,어린이공원,경기도 고양시 일산서구 주엽로 107,경기도 고양시 일산서구 주엽동 130,7875,야외배드민턴장+체력단련시설,조합놀이대+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67606162,126.764586,41287-00026,오거리,어린이공원,경기도 고양시 일산서구 주엽로 220-4,경기도 고양시 일산서구 주엽동 34,4001,,조합놀이대+그네+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67830724,126.7609682,41287-00027,오마,어린이공원,경기도 고양시 일산서구 주엽로 219,경기도 고양시 일산서구 일산동 1375,5700,체력단련시설,조합놀이대+그네+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67254864,126.7633732,41287-00028,강재,어린이공원,경기도 고양시 일산서구 강성로 126,경기도 고양시 일산서구 주엽동 52,4000,,조합놀이대+그네+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.6695506,126.7690897,41287-00029,궁골,어린이공원,경기도 고양시 일산서구 고봉로 91-3,경기도 고양시 일산서구 주엽동 55,6901,체력단련시설,조합놀이대+정글짐+그네+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67117101,126.7620628,41287-00030,강선,근린공원,경기도 고양시 일산서구 강성로 124,경기도 고양시 일산서구 주엽동 78,34384,다목적운동장+체력단련시설,,화장실,,조형물,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.66568037,126.7638604,41287-00031,회화,어린이공원,경기도 고양시 일산서구 고봉로 25-3,경기도 고양시 일산서구 주엽동 91,3803,체력단련시설,조합놀이대+정글짐+시소+흔들놀이대,화장실,,,1991-06-29,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67842011,126.7669398,41287-00032,후동,근린공원,경기도 고양시 일산서구 일산로 552-1,경기도 고양시 일산서구 일산동 1400,19195,체력단련시설,,화장실,,수경시설+조형물,1995-04-03,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67705604,126.7659922,41287-00033,문화,근린공원,경기도 고양시 일산서구 일산로 553-1,경기도 고양시 일산서구 일산동 1379,40373,체력단련시설,,화장실,,수경시설+조형물+시계탑,1995-04-03,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.69071006,126.7649935,41287-00034,숯고개,근린공원,경기도 고양시 일산서구 산현로 33,경기도 고양시 일산서구 탄현동 1580,10027,다목적운동장+체력단련시설,조합놀이대,화장실,,조형물,1997-01-21,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.68619741,126.7216817,41287-00035,가좌,근린공원,경기도 고양시 일산서구 송산로 387-7,경기도 고양시 일산서구 가좌동 1098,50155,게이트볼장+실내배드민턴장+체력단련시설,조합놀이대,화장실,,조형물,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67030086,126.7301278,41287-00036,송포,근린공원,,경기도 고양시 일산서구 대화동 1495-1,8968,족구장+체력단련시설,조합놀이대,,,,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.67190295,126.7346817,41287-00037,호미걸이,근린공원,,경기도 고양시 일산서구 대화동 750-16,10289,체력단련시설,조합놀이대,,,수경시설+야외무대+조형물,2001-06-22,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.66991791,126.7371001,41287-00038,레포츠,체육공원,경기도 고양시 일산서구 대화로156번길 39,경기도 고양시 일산서구 대화동 2314,45798,축구장+게이트볼장+농구장+인라인스케이트장+테니스장+실내배드민턴장+체력단련시설,조합놀이대,화장실,,조형물,2002-12-31,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.66501092,126.7562768,41287-00039,국제전시장,근린공원,경기도 고양시 일산서구 한류월드로 280,경기도 고양시 일산서구 대화동 1050-176,42416.2,,조합놀이대,화장실,,수경시설+조형물,2003-04-21,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.69601631,126.7494325,41287-00040,덕이근린2(한산),근린공원,,경기도 고양시 일산서구 덕이동 산131-7,18733.5,체력단련시설,,화장실,,,2006-01-31,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.70169688,126.7544741,41287-00041,덕이근린1(덕이),근린공원,,경기도 고양시 일산서구 덕이동 산145-1,45701.2,풋살구장+농구장+족구장+실내배드민턴장+체력단련시설,조합놀이대,화장실,,수경시설,2006-01-31,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.70351395,126.7645746,41287-00042,탄현일단의주택지168(탄현용현),어린이공원,,경기도 고양시 일산서구 탄현동 1634-1,2303,게이트볼장+체력단련시설,조합놀이대+그네+시소+흔들놀이대,,,,2006-10-02,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.68018521,126.8153401,41285-00069,식사어린이4(과학),어린이공원,,경기도 고양시 일산동구 식사동 1502,2600,,조합놀이대+그네+흔들놀이기구+미끄럼틀,,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.68300188,126.8074054,41285-00070,식사어린이5(올림푸스놀이),어린이공원,경기도 고양시 일산동구 위시티4로 111,경기도 고양시 일산동구 식사동 1511,5210,,조합놀이대+건너는기구+흔들놀이기구+미끄럼틀,화장실,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.675631,126.8123988,41285-00071,식사어린이6(저현),어린이공원,,경기도 고양시 일산동구 식사동 1566,2600,,조합놀이대+그네+흔들놀이기구+미끄럼틀,,,,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.67777805,126.8138635,41285-00072,식사근린2(식사중앙),근린공원,경기도 고양시 일산동구 위시티3로 44-2,경기도 고양시 일산동구 식사동 1535,31578,체력단련시설,그네+시소+조합놀이대+흔들말,화장실,,야외무대+수경시설+조형물,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.67423648,126.8110443,41285-00073,식사근린3(방아고개),근린공원,경기도 고양시 일산동구 위시티1로 25,경기도 고양시 일산동구 식사동 1569,15220,야외배드민턴장+체력단련시설,,화장실,,수경설,2005-08-24,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.65948674,126.7726989,41285-00074,일산문화공원,근린공원,경기도 고양시 일산동구 중앙로 1271-1,경기도 고양시 일산동구 장항동 845,54226.4,,,화장실,,야외무대,2008-10-31,경기도 고양시 푸른도시사업소,031-8075-4333,2025-12-15,3940000,경기도 고양시
37.64336554,126.7920516,41285-00075,문화공원(요진Y-City),문화공원,,경기도 고양시 일산동구 백석동 1237-1,5742,,,,,,2010-02-02,경기도 고양시 푸른도시사업소,031-8075-4333,2025-12-15,3940000,경기도 고양시
37.67301071,126.8082574,41285-00076,소공원(식사2),소공원,,경기도 고양시 일산동구 식사동 625-3,1486,,,,,,2014-07-08,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.67297712,126.8116032,41285-00077,어린이공원(식사2),어린이공원,,경기도 고양시 일산동구 식사동 산106-2,1525,체력단련시설,조합놀이대,,,,2014-07-18,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.67089055,126.8110623,41285-00078,근린공원(식사2),근린공원,,경기도 고양시 일산동구 식사동 621-16,21926,"체력단련시설,+농구장",조합놀이대,화장실,,야외무대,2014-07-18,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.67939508,126.7904581,41285-00079,파란,소공원,,경기도 고양시 일산동구 중산동 1853,1007.2,,,,,,2015-06-30,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.67791741,126.7805731,41285-00080,모당,근린공원,,경기도 고양시 일산동구 중산동 1832,17237.6,체력단련시설,조합놀이대,화장실,,,2015-06-30,경기도 고양시 푸른도시사업소,031-8075-4337,2025-12-15,3940000,경기도 고양시
37.69998903,126.7752129,41287-00001,탄현근린,근린공원,,경기도 고양시 일산서구 탄현동 산16,88210.3,족구장+실내배드민턴장+다목적운동장+체력단련시설,아이놀숲+모래마당+무장애놀이터,화장실+주차장,,수경시설+야외무대+전망대,1974-05-16,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
37.69766301,126.7673758,41287-00002,탄현 1(황룡),어린이공원,경기도 고양시 일산서구 탄현로 73,경기도 고양시 일산서구 탄현동 1475,1500,체력단련시설,조합놀이대+그네+시소,화장실,,,1990-12-19,경기도 고양시 푸른도시사업소,031-8075-4341,2025-12-15,3940000,경기도 고양시
